Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Drut,Sitar,Drut teental,5|9,9,On,1,Gat,,,N,2413.340092,2413.341638,7.5,5.5,0.049443,0.168786,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|10,10,On,1,Gat,,,N,2413.5869,2413.586535,7.5,5,0.248783,0.032851,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|11,11,On,1,Gat,,,N,2413.862574,2413.847569,8,5,0.131873,0.061512,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|12,12,On,1,Gat,,,N,2414.058624,2414.112624,8,5,0.243766,0.188041,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|13,13,On,1,Gat,,,N,2414.354397,2414.336256,8,6,0.31792,0.032672,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|14,14,On,1,Gat,,,N,2414.57129,2414.556456,8.5,6.5,0.036848,0.028525,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|15,15,On,1,Gat,,,N,2414.824285,2414.818914,9,6.5,0.212829,0.040396,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,5|16,16,On,1,Gat,,,N,2415.076447,2415.074803,9,6.5,0.18126,0.129161,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|1,1,On,1,Gat,,,N,2415.363444,2415.316453,8.5,6.5,0.178906,0.121446,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|2,2,On,1,Gat,,,N,,2415.579124,,7,,0.017718,Anupama Bhagwat,Gurdain Rayatt,2K
AnuBh_Drut,Sitar,Drut teental,6|3,3,On,1,Gat,,,N,2415.849469,2415.829225,9,7,0.069443,0.023053,Anupama Bhagwat,Gurdain Rayatt,2K
