X,Pitch,Smooth
808,193.959,1.591923119
809,191.975,1.58240248
810,197.854,1.607460079
811,203.713,1.633004888
812,197.866,1.611144572
813,193.924,1.591821725
814,195.91,1.601485984
815,201.785,1.627056809
816,199.836,1.617234989
817,205.702,1.639199284
818,205.688,1.639153794
819,195.913,1.597906398
820,184.144,1.548846387
821,188.069,1.56386248
822,188.07,1.567152387
823,186.107,1.557949963
824,186.113,1.557959587
825,205.726,1.643231447
826,205.728,1.6432196
827,205.671,1.64301123
828,201.813,1.627176953
829,207.657,1.653270331
830,205.712,1.647137285
831,205.684,1.647039024
832,197.856,1.611153326
833,#VALUE!,#VALUE!
834,201.758,1.626969009
835,201.769,1.630796213
836,199.791,1.620819842
837,199.786,1.620819738
838,201.778,1.630897329
839,199.839,1.621021098
840,199.86,1.621109519
841,205.71,1.647124886
842,205.741,1.643322598
843,209.612,1.659374951
844,205.706,1.643142772
845,205.694,1.64309118
846,201.807,1.630989976
847,203.772,1.641064603
848,201.795,1.638763591
849,199.85,1.628731965
850,203.75,1.644929509
851,201.805,1.638807378
852,201.795,1.634858962
853,199.84,1.624839757
854,199.832,1.624804975
855,197.898,1.618794792
856,199.784,1.620801949
857,#VALUE!,#VALUE!
858,201.799,1.627123701
859,203.755,1.637076804
860,207.643,1.653181082
861,205.718,1.647178555
862,201.791,1.627108584
863,201.773,1.627001983
864,201.759,1.626972116
865,201.783,1.627083722
866,203.727,1.636921547
867,203.742,1.636986366
868,209.617,1.663496113
869,209.663,1.667835665
870,209.649,1.663654119
871,209.629,1.663561401
872,213.553,1.684482294
873,217.456,1.705833474
874,217.453,1.705805409
875,217.445,1.705779443
876,215.514,1.699543622
877,215.502,1.699509212
878,211.618,1.67827369
879,207.659,1.657290176
880,213.541,1.680168688
881,219.422,1.70772615
882,223.346,1.734265688
883,225.301,1.745499065
884,221.366,1.727739552
885,215.496,1.699432978
886,209.637,1.667703931
887,207.693,1.657426927
888,205.736,1.647231109
889,207.662,1.6532614
890,209.613,1.659405062
891,201.823,1.627200234
892,203.749,1.633165938
893,207.644,1.64918369
894,209.61,1.655367126
895,207.655,1.649216051
896,203.779,1.633274909
897,203.756,1.633187692
898,#VALUE!,#VALUE!
899,#VALUE!,#VALUE!
900,201.781,1.627009307
901,201.82,1.627185063
902,205.716,1.643159961
903,205.701,1.643086927
904,203.779,1.633298526
905,201.807,1.627136868
906,201.795,1.627097628
907,201.811,1.627180483
908,201.816,1.62719992
909,203.767,1.63709042
910,205.69,1.643090737
911,205.708,1.643165112
912,205.7,1.643126024
913,203.754,1.637041808
914,203.754,1.637051767
915,203.76,1.637050608
916,203.777,1.637131646
917,205.704,1.643156628
918,207.682,1.649369491
919,207.642,1.649181496
920,205.699,1.643106812
921,205.69,1.643070632
922,205.693,1.643104138
923,205.717,1.643203307
924,207.688,1.649406526
925,207.668,1.649279024
926,211.575,1.661504695
927,211.62,1.661711595
928,207.675,1.649355725
929,215.484,1.677893373
930,215.504,1.677956291
931,213.558,1.667775676
932,205.703,1.643129371
933,205.688,1.643046285
934,207.693,1.649409977
935,219.435,1.694632179
936,221.367,1.705062299
937,221.36,1.705037759
938,223.308,1.711260316
939,219.397,1.694470119
940,213.569,1.667807984
941,221.352,1.700645088
942,219.41,1.690252903
943,215.529,1.673909305
944,213.543,1.667672403
945,207.663,1.649251212
946,215.497,1.6779428
947,207.668,1.64535657
948,213.538,1.67173128
949,215.466,1.677796233
950,207.69,1.649410749
951,207.665,1.649255435
952,207.698,1.649435764
953,205.737,1.647226111
954,205.727,1.651216161
955,209.6,1.667579705
956,207.693,1.657462306
957,209.653,1.667801685
958,209.62,1.667675304
959,209.598,1.667573335
960,209.617,1.667663622
961,209.621,1.667710391
962,211.566,1.678109194
963,211.578,1.678147657
964,211.615,1.678281467
965,211.594,1.678177203
966,211.58,1.678145373
967,211.56,1.678059537
968,213.543,1.688748407
969,211.606,1.678246098
970,211.585,1.678170093
971,211.559,1.678078065
972,211.582,1.678140915
973,211.592,1.678186008
974,211.592,1.678179487
975,201.798,1.630922381
976,203.697,1.636859614
977,203.723,1.63693692
978,207.632,1.653144425
979,205.749,1.647284224
980,207.698,1.653452762
981,207.682,1.653369533
982,209.617,1.663506614
983,205.76,1.647347342
984,203.745,1.637011678
985,203.752,1.637051489
986,203.744,1.636960756
987,203.766,1.637077334
988,201.793,1.627114799
989,201.79,1.62708209
990,201.787,1.627101999
991,203.717,1.636892275
992,203.723,1.636918998
993,203.771,1.637134799
994,203.768,1.637111474
995,203.775,1.637145314
996,203.793,1.637235466
997,203.792,1.637234332
998,203.78,1.637196809
999,203.782,1.637201071
1000,207.671,1.653339038
1001,209.635,1.663590896
1002,205.747,1.647286078
1003,205.737,1.6472424
1004,205.715,1.6471284
1005,205.729,1.647188728
1006,207.65,1.653242145
1007,205.744,1.647256277
1008,205.716,1.647162083
1009,205.717,1.647183553
1010,207.68,1.65736705
1011,209.617,1.663500313
1012,207.693,1.653434975
1013,207.705,1.653464505
1014,211.592,1.66980266
1015,215.493,1.686370875
1016,219.413,1.703233271
1017,219.414,1.703256762
1018,215.517,1.686488863
1019,215.507,1.686432958
1020,221.36,1.713935547
1021,225.301,1.731287814
1022,225.301,1.731313925
1023,229.223,1.748806016
1024,229.21,1.748758657
1025,229.199,1.748708048
1026,229.208,1.748730111
1027,221.378,1.714023539
1028,227.226,1.742216923
1029,225.292,1.731275217
1030,227.233,1.742266458
1031,223.33,1.724883233
1032,227.226,1.742207226
1033,223.342,1.724933947
1034,223.316,1.724818971
1035,225.278,1.731194173
1036,227.248,1.742300908
1037,229.227,1.748828868
1038,229.183,1.748611764
1039,231.135,1.754977985
1040,223.343,1.720377634
1041,223.344,1.720380859
1042,223.338,1.724920964
1043,223.325,1.724862298
1044,223.338,1.724923317
1045,223.344,1.724942792
1046,223.344,1.724952204
1047,223.34,1.724941574
1048,227.237,1.74225043
1049,227.239,1.742249689
1050,213.572,1.684534417
1051,215.514,1.690789853
1052,217.476,1.701431401
1053,219.406,1.707651718
1054,219.412,1.707655093
1055,223.309,1.724786841
1056,223.319,1.724816945
1057,219.416,1.712151456
1058,221.374,1.718543788
1059,219.417,1.712189374
1060,219.437,1.712284346
1061,225.302,1.735977996
