X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
1287,NA,NA,980.083,431.465,883.99,276.803,919.335,339.486,997.763,384.41,872.309,517.696,854.746,347.276,870.466,290.538,823.344,286.569,693.98,409.992,856.624,278.676,791.944,351.157,743.023,425.618
1288,NA,NA,980.06,431.485,883.999,274.898,919.319,339.426,997.733,384.416,870.41,511.821,854.704,347.229,872.331,290.449,823.317,286.517,690.141,411.852,856.65,276.757,791.917,351.135,743.048,423.683
1289,NA,NA,980.047,431.523,883.977,274.807,917.426,339.427,997.701,384.422,868.442,507.9,854.626,347.265,872.335,290.357,823.319,286.498,690.142,411.867,856.637,274.876,790.064,351.183,742.975,423.636
1290,NA,NA,980.035,431.553,883.963,274.742,919.325,339.487,997.676,384.479,870.336,509.891,854.651,347.297,872.328,288.524,823.287,286.455,688.179,411.925,856.637,274.825,790.046,351.185,741.068,419.746
1291,NA,NA,980.071,431.491,882.13,274.688,919.334,341.42,997.765,384.484,872.338,513.778,854.678,349.189,872.327,288.469,823.255,284.595,686.242,413.761,856.61,274.781,790.075,351.222,741.023,419.735
1292,NA,NA,980.136,429.618,882.138,272.859,919.312,341.43,1001.63,384.486,870.414,511.823,854.649,349.196,872.327,288.409,821.456,284.591,686.231,413.773,854.784,274.733,790.029,351.241,741.056,419.772
1293,NA,NA,982.014,429.48,882.124,272.816,919.297,339.507,1007.45,382.5,872.331,513.785,854.64,349.173,872.317,288.383,823.247,284.571,686.247,413.783,854.759,274.712,790.018,351.245,741.007,419.786
1294,NA,NA,980.099,417.857,882.129,272.772,919.323,339.453,1011.48,370.844,870.324,511.836,854.657,347.281,872.324,286.546,823.252,284.552,688.155,413.766,854.763,272.866,790.04,351.216,739.124,421.689
1295,NA,NA,982.016,415.805,882.124,272.751,917.44,339.407,1017.26,368.791,872.337,517.707,854.641,347.26,872.324,286.521,823.265,284.521,688.127,411.925,854.76,272.853,790.043,351.208,739.108,423.664
1296,NA,NA,985.953,411.893,882.118,272.732,917.43,337.539,1027.07,355.1,870.421,519.689,854.651,345.338,872.334,286.483,823.264,284.535,688.174,411.884,854.755,272.84,790.045,351.184,740.978,425.606
